Source,Target,Type,Weight
1,0,Undirected,1.0
2,0,Undirected,8.0
3,0,Undirected,10.0
3,2,Undirected,6.0
4,0,Undirected,1.0
5,0,Undirected,1.0
6,0,Undirected,1.0
7,0,Undirected,1.0
8,0,Undirected,2.0
9,0,Undirected,1.0
11,0,Undirected,5.0
11,2,Undirected,3.0
11,3,Undirected,3.0
11,10,Undirected,1.0
12,11,Undirected,1.0
13,11,Undirected,1.0
14,11,Undirected,1.0
15,11,Undirected,1.0
17,16,Undirected,4.0
18,16,Undirected,4.0
18,17,Undirected,4.0
19,16,Undirected,4.0
19,17,Undirected,4.0
19,18,Undirected,4.0
20,16,Undirected,3.0
20,17,Undirected,3.0
20,18,Undirected,3.0
20,19,Undirected,4.0
21,16,Undirected,3.0
21,17,Undirected,3.0
21,18,Undirected,3.0
21,19,Undirected,3.0
21,20,Undirected,5.0
22,16,Undirected,3.0
22,17,Undirected,3.0
22,18,Undirected,3.0
22,19,Undirected,3.0
22,20,Undirected,4.0
22,21,Undirected,4.0
23,11,Undirected,9.0
23,12,Undirected,2.0
23,16,Undirected,3.0
23,17,Undirected,3.0
23,18,Undirected,3.0
23,19,Undirected,3.0
23,20,Undirected,4.0
23,21,Undirected,4.0
23,22,Undirected,4.0
24,11,Undirected,7.0
24,23,Undirected,2.0
25,11,Undirected,12.0
25,23,Undirected,1.0
25,24,Undirected,13.0
26,11,Undirected,31.0
26,16,Undirected,1.0
26,24,Undirected,4.0
26,25,Undirected,1.0
27,11,Undirected,17.0
27,23,Undirected,5.0
27,24,Undirected,1.0
27,25,Undirected,5.0
27,26,Undirected,1.0
28,11,Undirected,8.0
28,27,Undirected,1.0
29,11,Undirected,2.0
29,23,Undirected,1.0
29,27,Undirected,1.0
30,23,Undirected,1.0
31,11,Undirected,3.0
31,23,Undirected,2.0
31,27,Undirected,1.0
31,30,Undirected,2.0
32,11,Undirected,1.0
33,11,Undirected,2.0
33,27,Undirected,1.0
34,11,Undirected,3.0
34,29,Undirected,2.0
35,11,Undirected,3.0
35,29,Undirected,2.0
35,34,Undirected,3.0
36,11,Undirected,2.0
36,29,Undirected,1.0
36,34,Undirected,2.0
36,35,Undirected,2.0
37,11,Undirected,2.0
37,29,Undirected,1.0
37,34,Undirected,2.0
37,35,Undirected,2.0
37,36,Undirected,2.0
38,11,Undirected,2.0
38,29,Undirected,1.0
38,34,Undirected,2.0
38,35,Undirected,2.0
38,36,Undirected,2.0
38,37,Undirected,2.0
39,25,Undirected,1.0
40,25,Undirected,1.0
41,24,Undirected,2.0
41,25,Undirected,3.0
42,24,Undirected,1.0
42,25,Undirected,2.0
42,41,Undirected,2.0
43,11,Undirected,3.0
43,26,Undirected,1.0
43,27,Undirected,1.0
44,11,Undirected,1.0
44,28,Undirected,3.0
45,28,Undirected,2.0
47,46,Undirected,1.0
48,11,Undirected,1.0
48,25,Undirected,1.0
48,27,Undirected,1.0
48,47,Undirected,2.0
49,11,Undirected,2.0
49,26,Undirected,3.0
50,24,Undirected,1.0
50,49,Undirected,1.0
51,11,Undirected,2.0
51,26,Undirected,2.0
51,49,Undirected,9.0
52,39,Undirected,1.0
52,51,Undirected,1.0
53,51,Undirected,1.0
54,26,Undirected,1.0
54,49,Undirected,1.0
54,51,Undirected,2.0
55,11,Undirected,19.0
55,16,Undirected,1.0
55,25,Undirected,2.0
55,26,Undirected,21.0
55,39,Undirected,1.0
55,41,Undirected,5.0
55,48,Undirected,4.0
55,49,Undirected,12.0
55,51,Undirected,6.0
55,54,Undirected,1.0
56,49,Undirected,1.0
56,55,Undirected,1.0
57,41,Undirected,1.0
57,48,Undirected,1.0
57,55,Undirected,1.0
58,11,Undirected,4.0
58,27,Undirected,6.0
58,48,Undirected,7.0
58,55,Undirected,7.0
58,57,Undirected,1.0
59,48,Undirected,6.0
59,55,Undirected,5.0
59,57,Undirected,2.0
59,58,Undirected,15.0
60,48,Undirected,1.0
60,58,Undirected,4.0
60,59,Undirected,2.0
61,48,Undirected,2.0
61,55,Undirected,1.0
61,57,Undirected,1.0
61,58,Undirected,6.0
61,59,Undirected,5.0
61,60,Undirected,2.0
62,41,Undirected,1.0
62,48,Undirected,7.0
62,55,Undirected,9.0
62,57,Undirected,2.0
62,58,Undirected,17.0
62,59,Undirected,13.0
62,60,Undirected,3.0
62,61,Undirected,6.0
63,48,Undirected,5.0
63,55,Undirected,1.0
63,57,Undirected,2.0
63,58,Undirected,4.0
63,59,Undirected,5.0
63,60,Undirected,2.0
63,61,Undirected,3.0
63,62,Undirected,6.0
64,11,Undirected,1.0
64,48,Undirected,5.0
64,55,Undirected,5.0
64,57,Undirected,1.0
64,58,Undirected,10.0
64,59,Undirected,9.0
64,60,Undirected,2.0
64,61,Undirected,6.0
64,62,Undirected,12.0
64,63,Undirected,4.0
65,48,Undirected,3.0
65,55,Undirected,2.0
65,57,Undirected,1.0
65,58,Undirected,5.0
65,59,Undirected,5.0
65,60,Undirected,2.0
65,61,Undirected,5.0
65,62,Undirected,5.0
65,63,Undirected,5.0
65,64,Undirected,7.0
66,48,Undirected,1.0
66,58,Undirected,3.0
66,59,Undirected,1.0
66,60,Undirected,1.0
66,61,Undirected,1.0
66,62,Undirected,2.0
66,63,Undirected,1.0
66,64,Undirected,3.0
66,65,Undirected,2.0
67,57,Undirected,3.0
68,11,Undirected,1.0
68,24,Undirected,1.0
68,25,Undirected,5.0
68,27,Undirected,1.0
68,41,Undirected,1.0
68,48,Undirected,1.0
69,11,Undirected,1.0
69,24,Undirected,1.0
69,25,Undirected,6.0
69,27,Undirected,2.0
69,41,Undirected,1.0
69,48,Undirected,1.0
69,68,Undirected,6.0
70,11,Undirected,1.0
70,24,Undirected,1.0
70,25,Undirected,4.0
70,27,Undirected,1.0
70,41,Undirected,1.0
70,58,Undirected,1.0
70,68,Undirected,4.0
70,69,Undirected,4.0
71,11,Undirected,1.0
71,25,Undirected,1.0
71,27,Undirected,1.0
71,41,Undirected,1.0
71,48,Undirected,1.0
71,68,Undirected,2.0
71,69,Undirected,2.0
71,70,Undirected,2.0
72,11,Undirected,1.0
72,26,Undirected,2.0
72,27,Undirected,1.0
73,48,Undirected,2.0
74,48,Undirected,2.0
74,73,Undirected,3.0
75,25,Undirected,3.0
75,41,Undirected,1.0
75,48,Undirected,1.0
75,68,Undirected,3.0
75,69,Undirected,3.0
75,70,Undirected,1.0
75,71,Undirected,1.0
76,48,Undirected,1.0
76,58,Undirected,1.0
76,62,Undirected,1.0
76,63,Undirected,1.0
76,64,Undirected,1.0
