2013 Federal Election Declaration Votes Issued By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:19 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionID,DivisionNm,StateAb,Provisional,Absent,PrePoll,PrePollOwnDivision,Postal,PostalOwnDivision
179,Adelaide,SA,1867,12805,1779,63,9772,9751
0,Antarctic,ANT,0,0,37,0,0,0
197,Aston,VIC,1016,4233,3609,101,8120,7275
198,Ballarat,VIC,1343,3568,2427,218,10073,8544
103,Banks,NSW,1295,3619,2036,42,8854,8575
180,Barker,SA,1220,4639,1985,133,5039,4939
104,Barton,NSW,1503,4774,1076,34,7406,7226
192,Bass,TAS,1158,2323,991,53,5598,5509
199,Batman,VIC,1359,5797,2709,103,8861,7678
200,Bendigo,VIC,1591,3799,1808,226,9158,8566
105,Bennelong,NSW,992,4483,1136,43,19387,9845
106,Berowra,NSW,780,3846,808,9,4901,4901
304,Blair,QLD,1325,3828,1197,92,12362,7043
107,Blaxland,NSW,2344,4146,1985,74,11324,7039
310,Bonner,QLD,910,4353,1061,22,15074,5128
182,Boothby,SA,1202,6788,1269,52,13954,9506
155,Bowman,QLD,768,2815,1456,148,7491,4883
193,Braddon,TAS,1016,1801,1139,47,4771,4567
108,Bradfield,NSW,930,3482,819,45,5762,5760
235,Brand,WA,1707,4485,2248,179,4530,4236
156,Brisbane,QLD,1210,9665,7448,43,15974,6788
201,Bruce,VIC,1269,4404,5257,69,9581,9034
109,Calare,NSW,1305,3443,2161,271,4114,4051
203,Calwell,VIC,2199,5171,12070,166,9862,8985
101,Canberra,ACT,1117,1731,3844,174,7947,6509
236,Canning,WA,1795,6603,879,160,4264,4231
157,Capricornia,QLD,1237,5787,4572,157,6207,5366
204,Casey,VIC,1294,3178,1076,119,3716,3710
110,Charlton,NSW,1466,3642,841,42,15422,7696
111,Chifley,NSW,1954,3493,537,21,17363,6702
205,Chisholm,VIC,949,5518,2555,92,4521,4521
112,Cook,NSW,1135,3535,1987,86,10405,7068
207,Corangamite,VIC,1038,6362,1033,117,9211,8451
208,Corio,VIC,1663,4958,2055,212,10148,8316
237,Cowan,WA,1350,5281,1457,12,4808,4382
113,Cowper,NSW,1277,3443,3231,104,5094,4891
114,Cunningham,NSW,1040,4252,1396,71,11009,7299
238,Curtin,WA,909,9068,2565,26,4653,4547
158,Dawson,QLD,1428,5099,4829,102,6594,5283
209,Deakin,VIC,890,4824,1250,66,22231,9111
194,Denison,TAS,976,3794,2006,61,11094,6909
252,Dickson,QLD,908,3303,1634,19,17111,8862
115,Dobell,NSW,1255,4950,2041,105,7651,7492
210,Dunkley,VIC,1430,4664,3202,41,9896,9287
312,Durack,WA,1931,11678,16678,431,3307,3299
117,Eden-Monaro,NSW,1002,3359,4592,199,8094,7925
159,Fadden,QLD,1291,3718,3596,159,4166,4165
160,Fairfax,QLD,899,4743,5746,101,3723,3723
118,Farrer,NSW,1067,1377,3152,164,7279,7107
161,Fisher,QLD,786,5035,2923,74,7696,4464
211,Flinders,VIC,1395,7342,2527,210,8110,7602
311,Flynn,QLD,1233,6253,4673,69,6934,5741
162,Forde,QLD,1298,4662,1242,56,5834,5832
239,Forrest,WA,1381,6574,1750,106,4330,4271
119,Fowler,NSW,1929,3785,2175,85,10852,7027
195,Franklin,TAS,990,2483,842,14,2271,2271
102,Fraser,ACT,1249,1708,6942,352,6464,6461
240,Fremantle,WA,1147,5407,3242,78,4464,4444
212,Gellibrand,VIC,1856,6007,2221,73,17068,9168
120,Gilmore,NSW,1189,5421,1745,180,6827,6664
213,Gippsland,VIC,1347,3029,2015,201,6630,4682
214,Goldstein,VIC,1029,4659,1177,53,8690,8065
309,Gorton,VIC,2830,4298,861,72,3736,3736
121,Grayndler,NSW,1629,7719,3260,76,19927,7162
122,Greenway,NSW,1659,4104,1301,8,4321,4320
183,Grey,SA,1533,5844,2709,144,6293,6150
163,Griffith,QLD,1176,8916,2639,28,5169,5169
164,Groom,QLD,969,3646,1980,29,10754,10308
305,Hasluck,WA,1560,6236,1535,22,3939,3939
165,Herbert,QLD,1720,4691,3606,80,6281,4401
215,Higgins,VIC,1175,7401,2626,96,12156,8570
185,Hindmarsh,SA,1639,7423,3519,30,9840,9820
166,Hinkler,QLD,835,3284,5224,189,5301,4060
216,Holt,VIC,1937,4123,1970,59,10149,9692
217,Hotham,VIC,1065,5676,4096,79,9652,8772
